,solar,grid,savings
5001,52.595615,327.5522,274.95657
5002,46.519398,289.3676,242.84822
5003,40.899628,254.05144,213.15181
5004,22.999413,141.56165,118.56223
5005,55.54739,346.10193,290.55453
5006,33.309963,206.35594,173.04597
5007,20.038805,122.95639,102.91759
5008,36.194332,224.48209,188.28775
5009,37.135395,230.396,193.2606
5010,62.36003,388.91443,326.55438
5011,63.954556,398.93484,334.9803
5012,54.605373,340.18207,285.5767
5013,33.29837,206.28308,172.98471
5014,39.21179,243.4446,204.2328
5015,20.020231,122.83966,102.81943
5016,27.89988,172.3575,144.45761
5017,58.66234,365.67712,307.01477
5018,64.85631,404.60168,339.74536
5019,56.705463,353.37958,296.6741
5020,61.645237,384.42245,322.77722
5021,46.848537,291.436,244.58746
5022,48.928345,304.50607,255.57773
5023,64.14645,400.14075,335.9943
5024,44.839382,278.8099,233.97052
5025,59.528084,371.11768,311.5896
5026,54.14176,337.26862,283.12686
5027,43.870667,272.72226,228.8516
5028,36.22546,224.67769,188.45222
5029,24.908306,153.55765,128.64934
5030,40.933887,254.26674,213.33286
5031,41.69429,259.04532,217.35103
5032,58.500465,364.65985,306.1594
5033,59.20481,369.08615,309.88135
5034,46.519627,289.36905,242.84943
5035,28.236118,174.47052,146.2344
5036,41.106007,255.34839,214.24239
5037,36.69027,227.59868,190.90842
5038,38.700523,240.23167,201.53116
5039,52.775524,328.68277,275.90726
5040,60.205486,375.37466,315.1692
5041,42.13269,261.80032,219.66763
5042,54.91898,342.15286,287.2339
5043,42.52685,264.27734,221.75049
5044,29.448488,182.08939,152.6409
5045,32.013237,198.20697,166.19373
5046,32.707268,202.56842,169.86115
5047,55.52355,345.95212,290.42856
5048,22.19995,136.5376,114.33765
5049,65.114334,406.2232,341.1089
5050,64.269646,400.91495,336.6453
5051,58.07739,362.00113,303.92374
5052,21.159506,129.99918,108.83967
5053,39.793705,247.10152,207.30782
5054,47.746006,297.07593,249.32993
5055,35.920586,222.7618,186.84122
5056,33.25857,206.03297,172.7744
5057,64.48991,402.29913,337.80923
5058,21.687737,133.31873,111.63099
5059,24.897709,153.49106,128.59335
5060,59.04104,368.05698,309.01593
5061,31.587702,195.53278,163.94507
5062,29.551382,182.736,153.18462
5063,45.045696,280.10645,235.06075
5064,63.42958,395.63577,332.20618
5065,59.488674,370.87006,311.38138
5066,32.099545,198.74933,166.64978
5067,31.186098,193.00899,161.82289
5068,54.99562,342.6345,287.63885
5069,38.12755,236.63094,198.50339
5070,54.034348,336.59357,282.5592
5071,64.391396,401.68005,337.28867
5072,22.220901,136.66927,114.448364
5073,47.38741,294.82242,247.43501
5074,31.96434,197.89967,165.93533
5075,50.537544,314.6187,264.08118
5076,54.597694,340.13382,285.53613
5077,51.63424,321.51062,269.87637
5078,64.17471,400.3184,336.14368
5079,46.3546,288.33197,241.97737
5080,60.70854,378.536,317.82745
5081,49.95971,310.98743,261.0277
5082,25.798939,159.15462,133.35568
5083,16.18342,200.57603,184.39261
5084,31.218708,193.21393,161.99522
5085,41.69835,259.07083,217.37248
5086,29.64136,183.30144,153.66008
5087,46.116577,286.83615,240.71957
5088,39.719925,246.63788,206.91795
5089,44.7579,278.29785,233.53995
5090,42.320305,262.97937,220.65906
5091,38.741924,240.49184,201.74991
5092,39.863667,247.54118,207.67752
5093,33.76859,209.23807,175.46948
5094,19.204916,117.715996,98.51108
5095,22.737965,139.91864,117.18068
5096,34.07991,211.19449,177.11458
5097,52.76186,328.59692,275.83505
5098,48.185295,299.83655,251.65125
5099,63.05999,393.31314,330.25314
5100,62.541725,390.05624,327.51453
5101,21.284777,130.7864,109.50163
5102,49.599426,308.72333,259.1239
5103,50.398357,313.74402,263.34567
5104,30.830473,190.77414,159.94366
5105,25.9914,160.3641,134.37271
5106,48.575348,302.28775,253.7124
5107,57.813236,360.34113,302.5279
5108,54.1408,337.26254,283.12173
5109,57.609577,359.06128,301.4517
5110,52.32089,325.82574,273.50485
5111,53.150272,331.03778,277.8875
5112,47.2975,294.2574,246.95988
5113,30.992346,191.7914,160.79906
5114,24.03565,148.07364,124.03799
5115,53.964996,336.15775,282.19275
5116,33.40097,206.92784,173.52687
5117,47.822754,297.55823,249.73547
5118,39.668915,246.31732,206.6484
5119,52.629276,327.76373,275.13446
5120,49.69302,309.3115,259.61847
5121,54.781597,341.2895,286.5079
5122,55.01014,342.7257,287.71558
5123,64.705124,403.6516,338.94647
5124,43.77228,272.10397,228.3317
5125,52.977726,329.9535,276.97577
5126,27.389847,169.15233,141.76248
5127,20.802137,127.75337,106.95123
5128,24.765463,152.65997,127.89451
5129,28.370405,175.31442,146.94402
5130,63.88257,398.48245,334.59988
5131,62.420033,389.29147,326.87143
5132,51.628757,321.4762,269.84744
5133,51.240494,319.03622,267.79572
5134,36.067936,223.68777,187.61984
5135,63.192295,394.1446,330.9523
5136,42.3514,263.17477,220.82338
5137,62.601494,390.43182,327.83032
5138,65.623505,409.42297,343.79947
5139,31.272175,193.54993,162.27776
5140,41.51627,257.92657,216.41031
5141,32.12422,198.90442,166.7802
5142,59.34151,369.94522,310.6037
5143,19.463833,119.34311,99.87927
5144,58.548866,364.96405,306.4152
5145,54.671803,340.59952,285.9277
5146,60.375443,376.44275,316.06732
5147,61.53303,383.71732,322.1843
5148,41.44989,257.50943,216.05954
5149,52.51656,327.05536,274.5388
5150,45.486675,282.8777,237.391
5151,46.742775,290.77136,244.0286
5152,42.375603,263.32687,220.95126
5153,59.444164,370.59033,311.14618
5154,63.137,393.79712,330.66013
5155,50.949127,317.2052,266.25607
5156,45.02688,279.98822,234.96133
5157,33.8225,209.57686,175.75436
5158,23.459831,144.45505,120.99522
5159,37.580025,233.19016,195.61014
5160,60.90715,379.78412,318.87695
5161,31.744888,196.52057,164.77568
5162,48.13358,299.51154,251.37796
5163,61.89029,385.96243,324.07214
5164,52.416985,326.42963,274.01263
5165,57.705643,359.66498,301.95935
5166,32.738853,202.76694,170.02808
5167,19.395084,118.91107,99.51599
5168,44.58522,277.2127,232.62749
5169,55.198097,343.9069,288.7088
5170,42.09012,261.5328,219.44269
5171,21.954027,134.99216,113.03813
5172,20.713142,127.19411,106.480965
5173,59.37691,370.1677,310.79077
5174,19.049995,116.74244,97.692444
5175,30.969477,191.64769,160.6782
5176,31.972548,197.95125,165.9787
5177,46.17031,287.17386,241.00354
5178,64.850174,404.56317,339.713
5179,36.833942,228.50157,191.66763
5180,29.447142,182.08092,152.63377
5181,25.137653,154.99893,129.86128
5182,33.43126,207.11818,173.68692
5183,60.966534,380.15732,319.1908
5184,41.723907,259.23145,217.50754
5185,56.224346,350.3561,294.13177
5186,42.162376,261.98688,219.8245
5187,43.06525,267.6608,224.59555
5188,64.341225,401.3648,337.0236
5189,26.633917,164.40184,137.76793
5190,28.817802,178.12598,149.30817
5191,48.84376,303.97452,255.13075
5192,41.21632,256.04163,214.8253
5193,20.537277,126.08892,105.55164
5194,30.349651,187.75253,157.40288
5195,33.75723,209.16667,175.40944
5196,27.02821,166.87968,139.85147
5197,43.94323,273.17825,229.23502
5198,34.10718,211.36588,177.2587
5199,49.700825,309.36053,259.6597
5200,64.35864,401.47424,337.1156
5201,43.63341,271.23126,227.59785
5202,43.37381,269.59988,226.22607
5203,59.564472,371.34637,311.7819
5204,51.070614,317.9687,266.89807
5205,53.517475,333.3454,279.8279
5206,61.143578,381.2699,320.1263
5207,31.376274,194.20412,162.82785
5208,38.958637,241.85373,202.8951
5209,46.532074,289.44727,242.91519
5210,61.572933,383.9681,322.39517
5211,50.791897,316.21713,265.42523
5212,62.90582,392.3443,329.43848
5213,20.403614,125.24895,104.84534
5214,42.950726,266.9411,223.99037
5215,21.888588,134.58092,112.69233
5216,22.327755,137.34076,115.013
5217,48.944656,304.60858,255.66393
5218,49.102936,305.60324,256.5003
5219,22.304914,137.19722,114.8923
5220,23.769918,146.4037,122.63378
5221,36.45177,226.09991,189.64815
5222,50.388767,313.68375,263.29498
5223,24.777237,152.73396,127.956726
5224,64.143875,400.12457,335.9807
5225,51.91974,323.3048,271.38507
5226,57.740604,359.8847,302.1441
5227,51.49833,320.65656,269.15823
5228,46.869946,291.57053,244.70058
5229,55.72391,347.21124,291.48734
5230,49.091812,305.53336,256.44153
5231,26.67426,164.65538,137.98112
5232,40.621815,252.3056,211.68379
5233,23.876293,147.0722,123.19591
5234,43.20456,268.53625,225.3317
5235,45.39029,282.27197,236.88168
5236,34.268906,212.38219,178.11328
5237,38.246677,237.3796,199.13292
5238,62.278214,388.40024,326.122
5239,38.62325,239.74606,201.12282
5240,37.52798,232.8631,195.33511
5241,27.373234,169.04791,141.67468
5242,48.386673,301.10205,252.71538
5243,65.4651,408.42752,342.9624
5244,64.29183,401.05438,336.76254
5245,22.63465,139.26936,116.63471
5246,30.688734,189.88342,159.19469
5247,30.062988,185.95107,155.88808
5248,21.22564,130.41476,109.189125
5249,38.686714,240.14488,201.45816
5250,26.642397,164.45515,137.81276
5251,31.596346,195.5871,163.99075
5252,65.54378,408.92197,343.37817
5253,18.918766,115.91776,96.99899
5254,21.466099,131.92589,110.45979
5255,32.87423,203.61766,170.74344
5256,52.929474,329.65027,276.7208
5257,20.505993,125.89232,105.38632
5258,23.059458,141.939,118.87954
5259,62.542213,390.0593,327.5171
5260,22.072096,135.73413,113.66203
5261,30.774204,380.57748,349.80328
5262,37.546124,232.97711,195.43098
5263,12.768902,156.18536,143.41646
5264,31.906572,394.6897,362.7831
5265,26.088982,322.18762,296.09863
5266,17.660763,217.15047,199.4897
5267,13.89738,170.24908,156.3517
5268,19.161873,235.85814,216.69626
5269,13.494752,165.23131,151.73656
5270,13.035048,159.50221,146.46716
5271,31.247911,386.48108,355.23315
5272,10.653847,129.82637,119.17252
5273,30.492369,377.0651,346.57272
5274,17.486885,214.9835,197.49661
5275,25.174187,310.78696,285.61276
5276,24.067198,296.99103,272.92383
5277,14.913218,182.90903,167.9958
5278,21.45778,264.471,243.01323
5279,14.4784155,177.49026,163.01186
5280,15.5895195,191.33746,175.74794
5281,25.526968,315.1835,289.65652
5282,30.913204,382.30978,351.39658
5283,10.918495,133.12456,122.20606
5284,30.56984,378.03058,347.46075
5285,29.860317,369.18814,339.32782
5286,25.068869,309.47443,284.40555
5287,24.914297,307.54807,282.63376
5288,29.344849,362.76407,333.41922
5289,23.599007,291.15616,267.55716
5290,32.650875,403.9656,371.31473
5291,22.156874,273.1835,251.02663
5292,10.539728,128.40416,117.86443
5293,19.98792,246.15282,226.1649
5294,25.086182,309.6902,284.604
5295,17.675072,217.3288,199.65372
5296,12.079158,147.58939,135.51022
5297,25.429369,313.96716,288.53778
5298,13.014512,159.24629,146.23178
5299,21.717035,267.702,245.98495
5300,26.36326,325.60587,299.2426
5301,17.759436,218.38019,200.62076
5302,16.896397,207.6245,190.7281
5303,24.84048,306.6281,281.78763
5304,33.044563,408.87195,375.8274
5305,17.585009,216.20638,198.62137
5306,15.783873,193.75961,177.97574
5307,33.0506,408.94717,375.89658
5308,28.76098,355.48758,326.7266
5309,25.402037,313.62653,288.2245
5310,30.213211,373.5861,343.37286
5311,25.4957,314.79382,289.29813
5312,27.097935,334.76175,307.66382
5313,31.601906,390.89276,359.29086
5314,30.882238,381.92386,351.04163
5315,14.095606,172.71948,158.62387
5316,23.724882,292.7249,269.00003
5317,26.328144,325.1682,298.84006
5318,30.878939,381.88275,351.0038
5319,9.838362,119.66333,109.82497
5320,21.960358,270.7344,248.77405
5321,29.201942,360.9831,331.78116
5322,32.963978,407.86768,374.9037
5323,27.889538,344.62717,316.73764
5324,10.64713,129.74265,119.09551
5325,13.570378,166.17381,152.60344
5326,25.498943,314.83423,289.3353
5327,10.788221,131.50102,120.7128
5328,12.604132,154.1319,141.52777
5329,13.602967,166.57996,152.97699
5330,31.564337,390.42456,358.86023
5331,18.629242,229.2202,210.59096
5332,14.656077,179.7044,165.04832
5333,21.761292,268.25354,246.49225
5334,31.021076,383.65414,352.63306
5335,29.421099,363.71432,334.2932
5336,17.775585,218.58144,200.80585
5337,23.635914,291.61615,267.98022
5338,19.30909,237.69283,218.38373
5339,32.890984,406.95798,374.067
5340,10.398496,126.644035,116.24554
5341,17.412144,214.05202,196.63988
5342,32.3344,400.0215,367.6871
5343,30.13955,372.66806,342.5285
5344,12.113845,148.02167,135.90782
5345,10.821658,131.91772,121.09607
5346,15.486429,190.0527,174.56627
5347,28.99638,358.42123,329.42487
5348,26.032726,321.48654,295.45383
5349,16.807888,206.52145,189.71356
5350,24.167147,298.23663,274.0695
5351,16.282003,199.96759,183.6856
5352,24.200861,298.65683,274.45596
5353,26.76569,330.62115,303.85547
5354,24.409834,301.26117,276.85135
5355,18.756718,230.80887,212.05215
5356,12.3295,150.70929,138.37979
5357,18.303387,225.1592,206.8558
5358,31.767763,392.95978,361.19202
5359,9.675147,117.629265,107.95412
5360,25.131512,310.2551,285.1236
5361,22.431374,276.6045,254.17313
5362,9.778144,118.912865,109.13472
5363,23.177729,285.90598,262.72824
5364,18.792116,231.25003,212.45792
5365,20.620558,254.03708,233.41652
5366,27.408274,338.6294,311.22113
5367,17.141472,210.67877,193.5373
5368,18.44896,226.97342,208.52446
5369,21.713886,267.66275,245.94887
5370,15.887475,195.05077,179.16328
5371,29.576534,365.65146,336.07492
5372,21.077534,259.73218,238.65465
5373,11.170005,136.25902,125.08901
5374,15.983736,196.25041,180.26668
5375,30.913605,382.3148,351.40118
5376,29.755508,367.88193,338.1264
5377,22.648104,279.3055,256.6574
5378,17.428164,214.25168,196.82352
5379,23.096249,284.8905,261.79425
5380,28.782196,355.75195,326.96976
5381,18.12636,222.953,204.82664
5382,18.01096,221.51482,203.50386
5383,22.218704,273.95407,251.73537
5384,28.14097,347.76065,319.6197
5385,30.515656,377.35532,346.83966
5386,10.189018,124.03342,113.8444
5387,9.794352,119.11485,109.3205
5388,19.609222,241.43326,221.82404
5389,29.614029,366.11874,336.5047
5390,14.712072,180.40224,165.69017
5391,13.961875,171.05286,157.09099
5392,17.172611,211.06683,193.89423
5393,29.47532,364.39008,334.91476
5394,31.252071,386.53293,355.28085
5395,23.514776,290.10645,266.59167
5396,27.814972,343.69788,315.8829
5397,25.567606,315.68997,290.12238
5398,21.267742,262.10263,240.83488
5399,25.95471,320.51425,294.55954
5400,20.879583,257.2652,236.38562
5401,28.812387,356.12823,327.31586
5402,22.236324,274.17365,251.93732
5403,31.554102,390.297,358.7429
5404,27.217869,336.25644,309.03857
5405,24.004332,296.20755,272.20322
5406,24.049084,296.7653,272.71622
5407,20.316399,250.24648,229.93008
5408,10.864565,132.45245,121.58789
5409,10.140321,123.42651,113.286194
5410,26.97168,333.1883,306.2166
5411,13.247681,162.15218,148.9045
5412,21.541,265.50815,243.96715
5413,31.405485,388.4449,357.0394
5414,17.033718,209.33589,192.30217
5415,29.006021,358.5414,329.5354
5416,26.588926,328.4182,301.82928
5417,17.033428,209.33226,192.29883
5418,21.166468,260.8405,239.67404
5419,11.695861,142.81253,131.11667
5420,17.487402,214.98994,197.50255
5421,20.043663,246.8475,226.80383
5422,25.13804,310.3365,285.19846
5423,12.380312,151.34254,138.96223
5424,12.333551,150.75978,138.42622
5425,23.68988,292.2887,268.59882
5426,15.613423,191.63538,176.02196
5427,21.172594,260.91687,239.74428
5428,19.625404,241.63492,222.00952
5429,21.569283,265.86063,244.29135
5430,26.990797,333.42654,306.43576
5431,32.993317,408.2333,375.24
5432,27.698364,342.24466,314.5463
5433,28.683302,354.5195,325.8362
5434,27.642,341.5422,313.9002
5435,28.906424,357.30017,328.39374
5436,14.899067,182.73267,167.8336
5437,17.135424,210.6034,193.46797
5438,27.144558,335.3428,308.19824
5439,12.393808,151.51073,139.11691
5440,9.832159,119.58604,109.753876
5441,26.6572,329.26907,302.61188
5442,32.588593,403.1894,370.6008
5443,32.443413,401.3801,368.93668
5444,25.709333,317.45624,291.74692
5445,27.275496,336.97464,309.69916
5446,20.117916,247.77289,227.65497
5447,16.214191,199.12248,182.9083
5448,19.446333,239.40324,219.95691
5449,18.9229,232.8799,213.957
5450,25.207087,311.19696,285.98987
5451,14.794085,181.42432,166.63023
5452,22.502651,277.49277,254.99011
5453,21.72669,267.8223,246.09561
5454,10.030045,122.0522,112.022156
5455,26.49213,327.2119,300.7198
5456,32.460476,401.59274,369.13226
5457,27.335024,337.71652,310.3815
5458,19.217539,236.55188,217.33434
5459,27.963629,345.5505,317.58688
5460,12.697198,155.29175,142.59454
5461,23.57908,290.90784,267.32877
5462,18.780458,231.10474,212.32428
5463,17.363506,213.44589,196.08238
5464,25.09501,309.8002,284.7052
5465,29.290073,362.08142,332.79135
5466,21.548681,265.60385,244.05518
5467,26.50971,327.431,300.9213
5468,13.543648,165.84068,152.29703
5469,26.866646,331.8793,305.01266
5470,11.868485,144.96387,133.09538
5471,14.271705,174.91412,160.64243
5472,18.85281,232.00641,213.1536
5473,21.182331,261.0382,239.85588
5474,25.80052,318.59268,292.79218
5475,19.012316,233.99426,214.98195
5476,21.262196,262.03354,240.77135
5477,21.910658,270.11502,248.20436
5478,25.767826,318.1852,292.4174
5479,23.09156,284.8321,261.74054
5480,13.460504,164.80449,151.34398
5481,10.762913,131.18561,120.4227
5482,28.672348,354.383,325.71063
5483,29.252748,361.61624,332.3635
5484,16.969955,208.54124,191.57129
5485,21.802984,268.77316,246.97018
5486,32.864994,406.63406,373.76907
5487,24.91595,307.56866,282.6527
5488,17.238728,211.89084,194.65211
5489,11.574931,141.30542,129.73048
5490,21.333242,262.91895,241.58571
5491,28.985025,358.27975,329.29474
5492,31.351353,387.77023,356.41888
5493,21.899368,269.97433,248.07497
5494,20.271818,249.6909,229.41908
5495,13.637413,167.00923,153.37183
5496,27.131443,335.17935,308.0479
5497,17.016691,209.12369,192.107
5498,32.382442,400.62024,368.2378
5499,20.709518,255.14575,234.43623
5500,27.80861,343.6186,315.80997
5501,32.870872,406.70737,373.8365
5502,30.394157,375.84113,345.44696
5503,22.74508,280.51407,257.76898
5504,22.947346,283.03482,260.08746
5505,20.430975,251.67441,231.24344
5506,28.095224,347.19055,319.09534
5507,15.396557,188.93266,173.5361
5508,31.103445,384.6807,353.57724
5509,26.769945,330.67416,303.9042
5510,28.35993,350.48944,322.12952
5511,22.983198,283.48163,260.49844
5512,20.160334,248.30151,228.14117
5513,14.048603,172.13371,158.08511
5514,17.88682,219.9677,202.08087
5515,28.383875,350.78787,322.404
5516,31.180984,385.647,354.466
5517,11.190656,136.51637,125.325714
5518,9.582941,116.48014,106.8972
5519,17.569813,216.01698,198.44717
5520,21.788404,268.59143,246.80302
5521,13.56525,166.10991,152.54466
5522,15.931244,195.59624,179.665
5523,31.909103,394.72125,362.81213
